employee_title,location,employee_status,review_title,pros,cons,rating_overall
 Product Manager,"Beijing, Beijing",16 Jan 2021 ,Tencent Cloud,"big company, big volume of end-users
","irregular management process, not a good To-B company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Manager,"Beijing, Beijing",17 Jan 2021 ,good,"everything is perfect at tencent
","nothing is bad at tencent
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Interaction Designer,"Shenzhen, Guangdong",15 Jan 2021 ,A really good company,"-The HR, superviors, colleague are generally good and nice.
","It is a very competitive environment
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Analyst,"Shenzhen, Guangdong",14 Jan 2021 ,a good place to grow,"big platform, advanced datas and development
","work over time, high house price in Shenzhen
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Compensation Manager,"Shenzhen, Shanghai",13 Jan 2021 ,very nice,"The business has very good prospects
","The work hours are long
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Recruitment Manager,"Shenzhen, Guangdong",12 Jan 2021 ,Excellent company,"Always exciting things going on, great platform for self-driven people to get involved in world class innovation/tech projects/global business projects. 
Competitive comp and benefits. 
Flexible and casual work environment/culture.
","No real complaints, OT may be needed depending on job/project scope.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,"Shenzhen, Guangdong",26 Jan 2021 ,a good company in fact,"good to have fun at least
","but have too much overtime
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Software Engineer,"Shenzhen, Guangdong",9 Jan 2021 ,Recommended,"Cool style, RSU, Good culture
","Work over time time sometimes
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Team Leader,"Shenzhen, Guangdong",9 Jan 2021 ,Good,"Good Job And Relax Job
","Not any cons for Tencent
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Algorithm Developer,"Shenzhen, Guangdong",19 Jan 2021 ,NA,"It has competitive salary in China.
","It has long working hours.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Business Analyst,,20 Jan 2021 ,Overall it's a good company,"competitive salaries, cozy working environment
","too much politics, no creativity
Be the first to find this review helpful
Helpful
Share
Repor",4.0
