employee_title,location,employee_status,review_title,pros,cons,rating_overall
Anonymous,,13 Apr 2022 ,Neutral,"Salary is a bit high
","No freedom in research topic, no vision in long term plan
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Software Engineer,,28 Mar 2022 ,1,"full of enterprise and initiative
","do not like communication and careless
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,11 Apr 2022 ,good company,"better salary and benefits, many company activities of team building
","product direction is not clear
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Product Manager,,9 Apr 2022 ,Great company mainly focused on gaming,"Good package, relatively stable job
","Not innovative enough, relationship matter
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Product Manager,,25 Mar 2022 ,Great Team,"Worth coming! I love the team
","No annoying issues I believe
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Human Resources,,24 Mar 2022 ,100%,"Great culture very people centered
","Not a big presence in Canada yet
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,7 Apr 2022 ,Pretty good in game industry,"great place to work but so much politics
","lots of over time working, too heavy
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,,8 Apr 2022 ,Really depends on which team you are in and where your office is,"Competitive package. Big tech in China.
","If your team is not working on the core products, you will feel useless and not contributing.
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Account Manager,,22 Mar 2022 ,1,"very nice, a lot of opportunity
","too juan no work life balance
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Director,Hong Kong,27 Apr 2022 ,Good for CV but really underdeveloped company,"Headquarters with canteen and entertainment; looks fancy; Good perks and benefits
","Top down boss pleasing culture, no clear KPI, a lot of idle people taking credits for others work, internal competition, unclear job scope, no work life balance
Advice to Management
Define roles before hiring, look at people’s capability, make data driven decisions
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Digital Operations Manager,,28 Apr 2022 ,Test,"Just for a new environment.
","The experience here makes me feel so regretful.
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Systems Engineer,,21 Mar 2022 ,System Engineer,"A very good company for developing
","Work time is too long
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Associate Director,"New York, NY",4 Apr 2022 ,a,"The company feels good so far
","The company is currently feeling disorganized
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for the feedback! We started in a startup phase, and now we are gradually building a more structured Tencent America team. Glad to hear your experience was good",4.0
Anonymous,,20 Mar 2022 ,Good,"Good payment and low pressure
","Bad environment in working facility
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,20 Mar 2022 ,good place for work,"1. good employee benefits 2. good business resources
","1. not international enough 2. housing price in shenzhen (global headquarters) is too high
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Analysis Manager,,31 Mar 2022 ,best culture in Chinese tech giants,"-best culture among Chinese internet companies
-big platform and can learn from different business
","- not the best pay in the industry 
- ToB business not as strong as ToC
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Reinforcement Learning Engineer,"Shenzhen, Guangdong",16 Mar 2022 ,Reinforcement Learning Engineer,"Reinforcement Learning, Multi-Agent Reinforcement Learning, Unity
","not a native English speaker
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks! Glad to hear that your Tencent journey has been full of good development opportunities",5.0
Anonymous,,16 Mar 2022 ,great culture,"flexibility and efficiency at work
","not really anything I dislike
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Security Engineer ,"Shanghai, Shanghai",30 Mar 2022 ,happy,"Strong technical atmosphere and happy
","no no no no no
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,31 Mar 2022 ,Lousy mid management,"a generous company and strong position in gaming and WeChat
","losing the innovation momentum, lousy mid-management, and very hierarchical
Advice to Management
change the mid-management
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Software Engineer,"Shenzhen, Guangdong",29 Mar 2022 ,overall evaluation,"flexible working hours, benifits.
WLB when compared to other giants.
","Frequent reorg of non-core businesses, PIP.
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your valuable feedback",4.0
 Software Engineer,"Shenzhen, Guangdong",14 Mar 2022 ,None,"High Salary and Large Company
","Overwork, Busy, Lot to learn
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks, we are glad to hear that Tencent was a good experience for you",5.0
 Game Designer,,27 Mar 2022 ,Tencent,"Benefits are decent. It's a huge company with rooms to grow.
","The structure of the company can get very complicated and hence affect decision makings.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Manager,"Palo Alto, CA",16 Apr 2022 ,Don't come if you are looking for a better career path,"The work life balance is good. Free lunch and gym. The company is trying to match with big tech firm with good compensation package and culture.
","The US office is controlled by HQ for any management decisions. The US employees are divided into US team and HQ team reporting to HQ directly. Feel like a small start up that any decision takes endless meetings. But ppl are nice here. Don't expect a career learning path though. The headcount is also influenced by HQ and Chinese eco market.
Advice to Management
Hire the right ppl.
1 person found this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your feedback, and sorry to hear that your experience with us wasn't smooth. Tencent America went through an early startup phase, with dependency from HQ. We are now gradually moving into a more localized structure, but it is a process that takes time. Hope it can still be a valuable learning experience for your career",1.0
 Web Developer,"Shanghai, Shanghai",9 Mar 2022 ,wonderful company,"wonderful people and decent salary
","work hours can be very long
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Marketing,,10 Mar 2022 ,Great experience,"Great experience, friendly and dynamic environment
","I don't find any cons
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Manager,"Shenzhen, Guangdong",8 Mar 2022 ,good for recommendation,"good company, friendly for fresh graduates. learn a lot good gym
","ot a lot, product managers are tired. success depends on your product a lot
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,11 Apr 2022 ,low,"very low Tencent bad company
","very low salary Tencent bad
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Data Analyst,"Shenzhen, Guangdong",5 Mar 2022 ,Good Environment and Profit,"Good Environment, Good salary, Good teamwork
","Products have hit a block neck, especially in the aspect of the internationalization
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for recognizing us for the good work environment, as we are taking steps to become more international and inclusive",5.0
 Software Engineer,"Shanghai, Shanghai",4 Mar 2022 ,network software engineer,"free lunch and dinner , competitive salary
","may need overtime working at office
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Business Development Manager,Bangkok,16 Mar 2022 ,Amazing teams,"Great colleagues and amazing teams
","Relatively small package compared to others Tech
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Product Manager,Hong Kong,28 Feb 2022 ,Good,"Good Salary, Good Product, Good Team
","Work over time a lot
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thank you for your valuable feedback! We are taking steps to ensure there's a sustainable Work/Life Balance for our employees",5.0
 Media Advertising Consultant,"Shenzhen, Guangdong",27 Feb 2022 ,Really great job,,"ltant in Shenzhen, Guangdong
Recommend
CEO Approval
Business Outlook
Pros
Has so many benefits and bonuses
Cons
Definitely need a broader base or foreign employees
Advice to Management
Keep up the good work, great
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for the positive feedback, great to hear you had a 5-star experience",5.0
 Operations Specialist,,13 Mar 2022 ,treatment,"Perfect welfare system.
Flexible working hours.
","longer working hours and difficulty in promotion
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,,27 Feb 2022 ,jobsearch,"good enough to have career here
","high pressure, long time work
Advice to Management
np
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Back,"Shenzhen, Guangdong",12 Mar 2022 ,Workload and Experience,"1. Competitive salary;
2. Friendly colleague;
3. Favorite tech
","1. Overwork;
2. Toxic culture affected by someone in your team;
3. Sick infrastructure
Advice to Management
Stop toxic mutual competition which is designed by capitalist, we need our own life off work
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for the honest feedback. We are taking actions to ensure our teams have a sustainable work/life balance, and we are training our managers to be ever more inclusive and respectful of different cultures and working styles",4.0
 Human Resources,"Beijing, Beijing",10 Mar 2022 ,-,"Flexible, flat, and candid atmosphere.
","NA, temporarily not found, but still has some area to be improved
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Product Manager,,10 Mar 2022 ,p,"lots of money,funny people and
","bad environments and lost if cats
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,"Shenzhen, Guangdong",22 Feb 2022 ,Nice company to work with,"Great career opportunity
Great benefits with 
- Free breakfast, lunch, and dinner
- Free group fitness class (but gym room is small)
- Low price, employee-only onsite massage
","Work life balance, working hours
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for the honest feedback. We do our best to offer great career opportunities and benefits to our Tencenters, and to ensure a sustainable work/life balance",5.0
 3D Artist,,8 Mar 2022 ,not a women friendly working environment,"good benefits, gym and cafeteria
","long working hours and stressful environment
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 User Experience Designer,,22 Feb 2022 ,lookback,"good for your health and life
","bad for your family and children
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Associate Director,,7 Mar 2022 ,innovative but stressful,"you can make mistakes
innovative
KPI driven
result oriented
young environment
","complex internal procedures 
strictly hierarchical
complicated interpersonal relationships
conventional
act slowly
Advice to Management
to observe how employees work
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,"Shenzhen, Fujian",8 Mar 2022 ,Review for Tencent,"Well-paid salary and could learn more techuniques
","not much work-life-balance
suffer some pressure
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,21 Feb 2022 ,Good employer,"open environment, friendly colleagues, good salary
","administrative process sometimes is too long.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,"Los Angeles, CA",6 Mar 2022 ,good place to work,"good benefit and many opportunities
","long hours and tiring of work
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for such a good review. This year better work/life balance is a big topic on our agenda",4.0
Anonymous,,18 Feb 2022 ,Fun place,"good environment. nice leaders. great working env.
","not much to say about the con part of the company.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Digital Content Manager,"London, England",19 Feb 2022 ,Great experience,"Salary is good; 
people are friendly
","Always under a high level of pressure.
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for such a great review. Glad that you have had a 5-star experience with us. 
Tech & game industry can be quite high-pressure during these recent times, so we encourage our employees to take time off, do regular exercise and seek support when things get overwhelming. Pls contact your local HR to understand what options are available to our EU employees. Wish you the best",5.0
 Web Developer,,16 Feb 2022 ,test,"good people and have Good salary and welfare
","Serious overtime, have no time to rest
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,"Shenzhen, Guangdong",1 Mar 2022 ,good infrastructure,"people are nice, too much newer things to learn
","too busy, food court not good
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for the feedback, especially coming for someone who has been in the company for many years",4.0
 Project Manager,"Beijing, Beijing",2 Mar 2022 ,Regular company,"Taxes, insurance, and travel allowances are all handled in accordance with the law.
","There is a lot of overtime, but if the annual compensatory vacation is not completed, it is likely to be cancelled.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Project Manager,"London, England",28 Feb 2022 ,Good job position,"good pension and harmonious atmosphere
","peer pressure and a large amount of work
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Game Developer,"Chengdu, Sichuan",23 Feb 2022 ,Senior Engine Programmer,"greatest in tencent
big company
timi
nice teammates
nice environment
","work pressure
elimination at the end
Long work time
Year-end bonus reduction
meaningless overtime
1 person found this review helpful
Helpful
Share
Repor",4.0
 Back End Engineer,"Shenzhen, Guangdong",24 Feb 2022 ,tencent work,"Human Care
work life balance
Good culture
","Low Base
Back Star
Poor infrastructure
Bad process
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,8 Feb 2022 ,Good,"The high-tech company, awesome company culture
","high pressure for most of positions
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Operations Analyst,"Shenzhen, Guangdong",9 Feb 2022 ,New Grad,"Good company, good team, good exposure
","relative low comp, long hours
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
thanks for your feedback",5.0
 AD Systems Engineer,,22 Feb 2022 ,average experience,"a comparable wlb China IT company
","technical update is not very fast
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Designer,"London, England",7 Feb 2022 ,senior designer,"UX design
document interaction design
and so on
","Rich design experience，Good at using various software
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,8 Feb 2022 ,Nice,"High competitiveness for my career development
","low work-life balance for me
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 ProductionManager,"Beijing, Beijing",22 Feb 2022 ,Good,"Ten cent gives good food during lunch
","No YouTube or google or instagram
Advice to Management
No
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Python Developer,Hongku,20 Feb 2022 ,Combination of work and rest,"great salary,good working tearm,nice people.
","There are more meetings，and they are not important.
Advice to Management
Take your time
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Business Analyst,"Beijing, Beijing",3 Feb 2022 ,123345,"patience, modesty, hard working, reasoning skills
","lack of professional experience, needs more working
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Development Engineer (SDE),"Shenzhen, Guangdong",16 Feb 2022 ,Good place to work,"Good pay, friendly people and engaged circumstance
","Tight tasks and extra work hrs
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Machine Learning Expert,"Shenzhen, Guangdong",16 Feb 2022 ,totally it's a great company,"a lot of smart and creative people here.
","sometimes call too much meetings, and not work-life balanced
Advice to Management
reduce unnecessary meeting and focus on how to improve products or solutions
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for the review, we indeed do our best to attract the best talent in tech, gaming & related areas",4.0
 Product Manager,"Shenzhen, Guangdong",15 Feb 2022 ,Good company for graduate,"Big company, learn a lot as a graduate.
","Heavy workload, overtime every day.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Brand Manager,,14 Feb 2022 ,Great to join at a senior level,"wide portfolio of products to look over
","Difficult to work as a foreigner unless you speak fluent chinese
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Intern,"China, ME",30 Jan 2022 ,Intern,"Good work with good people and CEO
","None - not alot of cons to be honest.
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks, glad to hear you had a good experience with us ",5.0
 Freelance Interpreter,"Shanghai, Shanghai",30 Jan 2022 ,generally good,"nice environment, good team support
","internal communication mechanism can be improved
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,13 Feb 2022 ,tencent,"Big companies have a better experience
","Work longer hours than other companies
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Product Design,,12 Feb 2022 ,giant player,"abundant internal opportunities for employees to extend themselve
","the admin rules are also becoming abundant for people to digest
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,12 Feb 2022 ,tencent software engineer,"Good welfare and good treatment
","Good environment and good boss
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Human Resources Coordinator,"Vancouver, BC",12 Feb 2022 ,Flexibility,"rewarding pay offered by the company
","little communication in a team
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Senior Analyst,"Shenzhen, Guangdong",27 Jan 2022 ,pretty good,"very tolerating company policy to employees
","little room for growth or promotion
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your honest review",5.0
 Unreal Engine Developer,"Shenzhen, Guangdong",11 Feb 2022 ,Very High pressure,"Good benefits, high salary in China.
","Very high pressure; competitive; no work life balance.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Bigdata Analyst,Hong Kong,26 Jan 2022 ,s,"I am a specialist in corporate communications,
","can wear multiple hats and work anywhere
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your review! Tencent is a great place for learning & exploring different fields. Glad that you had a good experience",5.0
 Senior Marketing Manager,Bangkok,9 Feb 2022 ,Positive experience overall,"Talented, proactive, creative, and efficient working team
","Hierarchical structure (slow decision-making) and emotional C-level leadership
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,24 Jan 2022 ,Great Company,"Culture is amazing
Always learning
Failure is a learning, we keep moving!
Ridiculous benefits
","None that I can think of
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,1 Mar 2022 ,Bad Culture,"Gobbling up other companies quickly
","Sexism and sexual harassment can be seen throughout the company
Be the first to find this review helpful
Helpful
Share
Repor",1.0
Anonymous,Bangkok,22 Jan 2022 ,OK to build your port,"Good profile on resume, no matter which branches you worked for
","No systematic work process, fast paced and always changing environments, internal politics
Advice to Management
Be more mindful of data for decision maker over using just guts.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Internship,,17 Jan 2022 ,NA,"Provide great opportunities for new joiners
","Couldn't think of any cons
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,30 Jan 2022 ,no money,"very little word to say
","no money, too much work
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Associate Product Manager,"Shenzhen, Guangdong",27 Jan 2022 ,Tencent APM-campus hire,"tech giant in China
competitive salary for graduate in China
good career outlook
free company restaurants and gym
good culture
","long working hours: 10am-10pm-5 days
industry downturn for ToC product in China
fierce internal competition
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Game Designer,,12 Jan 2022 ,124,"Nice 1235 work and nice salary
","Too much work I no load
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,25 Jan 2022 ,"Big Platform, but loose management and too much office politics","very good platform, the pay and benefit are good.
","Hard to develop and focus on the business, too much gossip and politics. 
Many leaders only care about themselves and PUA the subordinates.
Advice to Management
Try to be more commercial driven and go to market and have a look in person, instead of sitting in the office and read the news and messages from WeChat groups.
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Recruiting,Hong Kong,24 Jan 2022 ,123,"leading apps in China 
stable business growth
","working overtime
lacking innovations in the past few years
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your review. We are indeed working on our operations to ensure more flexible work models & better work/life balance for our employees",3.0
 Lead Product Designer,"Shenzhen, Guangdong",24 Jan 2022 ,working environment,"1.good working environment
2.a lot of team building activities
","have to use Mandarin in most situations and documents
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Data Scientist,"Shenzhen, Guangdong",22 Jan 2022 ,infras sucks,"10 am - 8 pm, 5 days a week
","infras sucks, no guidance, no senior DS guide your work.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,7 Jan 2022 ,SDE,"High Salary. Fully paid health, vision and dental insurance. Four months maternity leave.
","The workload is not so low as other big tech
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Junior Backend Engineer,"Shenzhen, Guangdong",22 Jan 2022 ,Technology is not as good as you think,"Good salary. Good work environment. And good mentor.
","Technology is not as good as you think
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Account Director,"Palo Alto, CA",20 Jan 2022 ,Tencent rating is good,"best medical insurance, unlimited travel policy if business need, company culture encourage trial against failure, respecting staff and employees, annual party, all hands meeting on group travel. zero tolerance to molest or discrimination
","many cross border, cross time zone meeting after 6pm, almost everyday, often in weekend,
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your review. Glad that you had a good experience at Tencent America",4.0
Anonymous,"Palo Alto, CA",20 Jan 2022 ,Big company and a lot of communication with China,"Good benefits, Good products, Good people and opportunities to travel to China
","A lot of overtime and cross-time zone communication
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your feedback. Some functional roles may indeed require a lot of communication with HQ.
However we also taking steps to ensure that Game Development studios in USA enjoy their creative freedom when producing games",3.0
 Algorithm Engineer,"Beijing, Beijing",21 Jan 2022 ,Salary in Tencent,"decent salary and a lot of young people
","work overtime and no innovation
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 3D Artist,"Montreal, WI",5 Jan 2022 ,High,"Really good place to work
","Long hours and to much ot
Advice to Management
Less ot
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your 5 stars, it means a lot to us! ",5.0
 Market Analyst,"Shanghai, Shanghai",6 Jan 2022 ,Nice,"lot of pros, pay environment pace
","less cons, pace communication balance
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Recruiter,"Beijing, Beijing",19 Jan 2022 ,HR functions are very segmented,"Large international company with relatively good humanistic care
","Of course, Tencent has the common problem of big companies - departmental barriers
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Sales Director,Bangkok,19 Jan 2022 ,Career path,"have opportunity to growth up in the future
","need to fast learning and high adaptive with current situation
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Business Analyst Intern,"Shenzhen, Guangdong",20 Jan 2022 ,BA intern,"Good exposure and nice supervisor as well as work environment
","boring job content and cannot access to the core of the project
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,,5 Jan 2022 ,the Tencent,"tencent is rich and pay high salary
","backend development in Tencent cloud
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Android Developer,"Shenzhen, Guangdong",5 Feb 2022 ,Overtime extreamly force PIP,"high salary in china
free food is fine
","overtime extremely over 60hours per week
Ageism over 30years old
force pip or fire employee by last 10percent per half year
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Operation Lead,,12 Jan 2022 ,Operation Lead,"good salary
good environment
good team
good meal
good gym
","not work-life balance
too much pressure
too much work
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Analyst,,28 Dec 2021 ,Great opportunity,"Nice food and nice coworkers
","cannot think of any yet
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,10 Jan 2022 ,Data Scientist,"Big company, care about employees, lot to learn
","too many changes to team structure
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Sofetware Engineer,"New York, NY",5 Jan 2022 ,no work life balance,"using C++ / C 
Linux
backend
server mostly
","hi this is d d
2 people found this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your feedback. We are aware of work/life issues, and we are promoting initiatives to control overtime in USA (ex. flexible work formats). 
Should you have any specific issues, we also invite to discuss with your local HR partner",4.0
 Software Engineer,"Shenzhen, Guangdong",7 Jan 2022 ,"Colleagues are good, job is boring","1. Good team work.
2. Good salary.
3. Good team leader.
","1. Bad WLB. 
2. The job was boring. 
3. The business model doesn't work in long term.
4. A large portion of jobs we did resulted in nothing, but we had to do them so that our leader could satisfy his leaders.
1 person found this review helpful
Helpful
Share
Repor",3.0
Anonymous,"San Diego, CA",5 Jan 2022 ,average,"have dencent salary for new grad
","sometimes you have to work overtime
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
Thanks for your feedback",4.0
 Advanced Algorithm Engineer,"Beijing, Beijing",19 Dec 2021 ,"Dec 20, 2021 -in beijing china","nice staff, variety of work, good benefits
","not yet, not yet, not yet
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Team Leader,,17 Dec 2021 ,Great place to work,"The workplace is great, people are nice.
","Some of the managers are not very professional
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Researcher,"Shenzhen, Guangdong",15 Dec 2021 ,excellent,"work fulfillment. friendly env. fun
","hard to think of anything
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Internship,"Shenzhen, Guangdong",28 Dec 2021 ,summer Intern,"Good company and friendly teammates
","Relatively working hours and house nearby is expensive
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Product Manager,"Beijing, Beijing",13 Dec 2021 ,good choice,"money, achievements, good choice for everyone
","none, cant figure out whats bad here
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Client Engineer,"Shanghai, Shanghai",25 Dec 2021 ,tough but exciting,"nice working environment and fair return
","too many extra work hours
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Product Manager,,10 Dec 2021 ,Product Manager at Tencent,"Product driven and user-first culture
","Too much hierarchy, not reactive to new opportunities
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Scientist,"Shenzhen, Guangdong",24 Dec 2021 ,"Being nice to employees, situation varies between departments","Relative high salary, provides relatively good services to employees
","overtime working is very common in some departments
Advice to Management
no
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,15 Jan 2022 ,Bad,"The salary is quite good
","Very unsupportive environment with too much racism
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Senior IOS Developer,"Shanghai, Shanghai",21 Dec 2021 ,996 ，not wlb,"you can be the core of team
glow up fast
","Product takes precedence over technology

996 work time
1 person found this review helpful
Helpful
Share
Repor",3.0
 Tencent MA Analyst,"Beijing, Beijing",8 Dec 2021 ,Very good place,"nice culture, very nice people
","heavy workload, too little sleep
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Analyst,,8 Dec 2021 ,good,"its a great company in general
","no cons what so ever
Advice to Management
none
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,11 Jan 2022 ,bad company,"no Pros any more, a bad company
","Long overtime hours and high work pressure
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Senior BD Manager,"Shanghai, Shanghai",17 Dec 2021 ,"Good pay, less work","good pay with least work in the same role comparing with other companies.
","less work, bad for next job
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineer,"Shenzhen, Guangdong",16 Dec 2021 ,Working Exp,"Good working environment -> Latest Macbook, comfortable workstation
A lot of benefits -> free drinks, food, gifts
","Low communication efficiency among departments
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Sales Operations Analyst,Jakarta,30 Nov 2021 ,Sales Operations Analyst,"good place to work, lots of knowledge given, good work environment, supportive coworkers
","need to know english or mandarin
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Director,"Shanghai, Shanghai",13 Dec 2021 ,good,"overall good payment in china
","long hours with complicated communication processes
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Computer Programmer,Bangkok,25 Nov 2021 ,Recommended,"- Good welfare
- Great company culture
","- Manager attitude move all staff direction.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Engineer,"Shenzhen, Guangdong",8 Dec 2021 ,Work overtime but less revenue,"Top 1 gaming company. You will play games here.
","Leads are not smart. Their ability is not enough to lead base staff.
Advice to Management
Read more and learn more. Do not PUA.
1 person found this review helpful
Helpful
Share
Repor",2.0
Anonymous,,31 Dec 2021 ,bad,"Nothing is really attractive after joining
","many things that beyond description
Be the first to find this review helpful
Helpful
Share
Repor",1.0
Anonymous,,21 Nov 2021 ,Good,"Good experience, high salary, excellent team
","Work hard, big stress, noisy environment
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Analyst,"Shenzhen, Guangdong",19 Nov 2021 ,i don't know what to say,"Good culture and hours, and the team
","Too slow for everything... sometimes get bored
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,16 Nov 2021 ,My review,"Good place to come here
","Shenzhen is not a good city to live in
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Business Analyst,,15 Nov 2021 ,Business Analyst,"Very cool and well balanced
","very hard to enter tbh
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Business Development Manager,Bangkok,28 Nov 2021 ,4 years+ at Tencent Games,"Flexible culture and support learning on the job
","Unorganized work approach and a little hard to maintain work-life balance
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 PhD Student,"College Park, MD",13 Nov 2021 ,great company,"great talented mentors and phd students can learn a lot from them
","i'm working from home and have no idea of it
Be the first to find this review helpful
Helpful
Share
Report
Tencent Response
That's awesome. Thanks for your review. We are embracing more flexible working styles, glad to receive your appreciation",5.0
